epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1486.71,0.94022,1.1937,1.1572,0.81255,0.77224,0.8135,0.65221,0.8629,1.06729,1.0245,8.31775e-05,8.31775e-05,8.31775e-05
55,1513.99,0.94223,1.18061,1.16249,0.82991,0.75304,0.82187,0.66663,0.82119,1.02749,1.00907,8.1445e-05,8.1445e-05,8.1445e-05
56,1541.7,0.92517,1.16059,1.15397,0.82128,0.78269,0.82181,0.64447,0.90901,1.04884,1.05462,7.97125e-05,7.97125e-05,7.97125e-05
57,1569.33,0.92754,1.16366,1.14953,0.82216,0.76832,0.823,0.67362,0.79521,1.02477,0.98982,7.798e-05,7.798e-05,7.798e-05
58,1596.28,0.93619,1.15027,1.14847,0.82572,0.79136,0.82629,0.67026,0.83461,1.02997,1.00399,7.62475e-05,7.62475e-05,7.62475e-05
59,1622.93,0.92533,1.14256,1.14535,0.83368,0.7626,0.82007,0.64608,0.88849,1.04719,1.03645,7.4515e-05,7.4515e-05,7.4515e-05
60,1650.05,0.9195,1.13057,1.15169,0.83955,0.77246,0.82793,0.67332,0.81998,1.0079,1.00489,7.27825e-05,7.27825e-05,7.27825e-05
61,1676.76,0.93637,1.13669,1.14617,0.79391,0.77568,0.81717,0.66009,0.85241,1.04,1.01999,7.105e-05,7.105e-05,7.105e-05
62,1703.61,0.90728,1.10487,1.13665,0.82694,0.77959,0.83067,0.67206,0.82501,1.00628,1.00567,6.93175e-05,6.93175e-05,6.93175e-05
63,1730.47,0.90235,1.12751,1.13683,0.84788,0.76353,0.83142,0.65519,0.87471,1.03384,1.02931,6.7585e-05,6.7585e-05,6.7585e-05
64,1757.16,0.90806,1.13968,1.14099,0.82075,0.78803,0.82589,0.65846,0.88752,1.0199,1.03668,6.58525e-05,6.58525e-05,6.58525e-05
65,1784.19,0.90654,1.09536,1.12783,0.8297,0.78586,0.82701,0.6637,0.87188,1.01316,1.02692,6.412e-05,6.412e-05,6.412e-05
66,1811.11,0.90954,1.10487,1.13716,0.83349,0.78398,0.8282,0.67836,0.8204,0.99774,1.00351,6.23875e-05,6.23875e-05,6.23875e-05
67,1837.81,0.88066,1.0807,1.1193,0.8674,0.78105,0.83751,0.67518,0.85372,1.01509,1.01472,6.0655e-05,6.0655e-05,6.0655e-05
68,1865.48,0.89536,1.08388,1.1246,0.8699,0.77117,0.83417,0.67834,0.81951,0.99294,0.99694,5.89225e-05,5.89225e-05,5.89225e-05
69,1892.59,0.89597,1.08185,1.11665,0.76896,0.83375,0.83819,0.67918,0.82447,0.98531,1.0059,5.719e-05,5.719e-05,5.719e-05
70,1919.65,0.887,1.06768,1.13607,0.84781,0.77816,0.83666,0.65928,0.89257,1.02071,1.04025,5.54575e-05,5.54575e-05,5.54575e-05
71,1946.89,0.86479,1.04629,1.10697,0.80038,0.81039,0.83369,0.6599,0.8918,1.02981,1.0387,5.3725e-05,5.3725e-05,5.3725e-05
72,1973.35,0.8858,1.0702,1.12368,0.85988,0.77332,0.83671,0.66558,0.86323,1.0106,1.02369,5.19925e-05,5.19925e-05,5.19925e-05
73,1999.81,0.89034,1.05644,1.12611,0.83513,0.77946,0.8336,0.67041,0.86034,1.00345,1.02193,5.026e-05,5.026e-05,5.026e-05
74,2026.37,0.88107,1.05967,1.12603,0.85029,0.76121,0.83385,0.6619,0.86982,1.02474,1.02946,4.85275e-05,4.85275e-05,4.85275e-05
75,2053.43,0.87485,1.03848,1.11859,0.83945,0.77787,0.83936,0.67736,0.84285,0.99486,1.00754,4.6795e-05,4.6795e-05,4.6795e-05
76,2080.63,0.86657,1.02206,1.10944,0.86292,0.77376,0.83753,0.67378,0.84656,0.98066,1.00902,4.50625e-05,4.50625e-05,4.50625e-05
77,2107.57,0.89335,1.04407,1.12728,0.85036,0.76567,0.83339,0.66713,0.86367,0.9938,1.02235,4.333e-05,4.333e-05,4.333e-05
78,2134.37,0.86909,1.02989,1.11514,0.84628,0.7816,0.83489,0.67264,0.84108,0.97813,1.01488,4.15975e-05,4.15975e-05,4.15975e-05
79,2160.91,0.87025,1.01106,1.11455,0.85824,0.77633,0.83105,0.66619,0.85127,0.99837,1.02057,3.9865e-05,3.9865e-05,3.9865e-05
80,2187.75,0.86195,1.008,1.1104,0.82243,0.79326,0.83968,0.67974,0.82633,0.97216,1.00744,3.81325e-05,3.81325e-05,3.81325e-05
81,2214.39,0.86829,1.02043,1.11045,0.84234,0.78849,0.8376,0.67025,0.84511,0.9968,1.01437,3.64e-05,3.64e-05,3.64e-05
82,2241.01,0.86167,0.9984,1.11128,0.86359,0.77821,0.83802,0.66005,0.86046,1.00399,1.02175,3.46675e-05,3.46675e-05,3.46675e-05
83,2267.67,0.85003,1.01482,1.10678,0.86325,0.7706,0.84114,0.67652,0.8296,0.98518,1.00737,3.2935e-05,3.2935e-05,3.2935e-05
84,2294.68,0.84627,0.98966,1.10379,0.83616,0.80115,0.84364,0.66414,0.87215,1.00575,1.0278,3.12025e-05,3.12025e-05,3.12025e-05
85,2321.33,0.85645,0.99453,1.10984,0.82938,0.79775,0.82748,0.65714,0.85364,0.98909,1.01688,2.947e-05,2.947e-05,2.947e-05
86,2348.13,0.87101,1.00247,1.11088,0.85047,0.77025,0.84109,0.66949,0.83564,0.97849,1.00936,2.77375e-05,2.77375e-05,2.77375e-05
87,2374.86,0.84035,0.97678,1.09553,0.85585,0.76805,0.84132,0.67641,0.83692,1.00476,1.01057,2.6005e-05,2.6005e-05,2.6005e-05
88,2401.61,0.85054,0.98689,1.10039,0.82991,0.80636,0.8453,0.67058,0.85124,0.99473,1.01389,2.42725e-05,2.42725e-05,2.42725e-05
89,2428.3,0.85011,0.97666,1.10056,0.7587,0.81884,0.83352,0.67238,0.82413,0.96842,1.00661,2.254e-05,2.254e-05,2.254e-05
90,2455.14,0.85402,0.98602,1.10003,0.81867,0.80535,0.84588,0.68448,0.82329,0.96734,1.00411,2.08075e-05,2.08075e-05,2.08075e-05
91,2520.72,0.79309,0.89887,1.08429,0.79453,0.78693,0.82712,0.66965,0.83546,1.00573,1.01683,1.9075e-05,1.9075e-05,1.9075e-05
92,2547.38,0.79432,0.88301,1.0998,0.78747,0.79955,0.82961,0.66935,0.82714,1.00117,1.01173,1.73425e-05,1.73425e-05,1.73425e-05
93,2575.25,0.79046,0.87203,1.09369,0.80035,0.79316,0.83285,0.67025,0.83073,0.98474,1.01169,1.561e-05,1.561e-05,1.561e-05
94,2602.16,0.77185,0.85578,1.08126,0.85987,0.76624,0.84485,0.68103,0.83385,0.99273,1.01016,1.38775e-05,1.38775e-05,1.38775e-05
95,2628.96,0.7785,0.85929,1.08357,0.84172,0.77987,0.84419,0.67348,0.8396,0.99819,1.01655,1.2145e-05,1.2145e-05,1.2145e-05
96,2655.74,0.76917,0.84735,1.07618,0.85337,0.76945,0.84459,0.68483,0.82067,0.98284,1.00542,1.04125e-05,1.04125e-05,1.04125e-05
97,2682.3,0.77465,0.85965,1.0825,0.86056,0.76154,0.84502,0.68134,0.83191,0.98543,1.01019,8.68e-06,8.68e-06,8.68e-06
98,2709.04,0.77391,0.84231,1.08829,0.84005,0.77529,0.84366,0.68032,0.8363,0.98765,1.01463,6.9475e-06,6.9475e-06,6.9475e-06
99,2735.49,0.76195,0.85527,1.07606,0.84291,0.77716,0.8436,0.6759,0.83751,0.99364,1.01504,5.215e-06,5.215e-06,5.215e-06
100,2762.01,0.77079,0.8527,1.07887,0.84622,0.78005,0.84412,0.67936,0.83454,0.99021,1.01138,3.4825e-06,3.4825e-06,3.4825e-06
